Терминал;Отделение;Адрес;Партнёр
10102051;1010205;51909, Дніпропетровська  обл., м.Кам`янське, провулок Цегляний, 19;delivery
10102061;1010206;29025, Хмельницька  обл., м.Хмельницький, вул.Курчатова 117-А;delivery
10102071;1010207;51206, Дніпропетровська  обл., м.Новомосковськ, вул.Микити Головка , 12;delivery
10102081;1010208;36008, Полтавська  обл., м.Полтава, Шевченківський р-н., вул.Комарова, 5;delivery
10102091;1010209;68001, Одеська  обл., м.Чорноморськ, вул.Транспортна, 14;delivery
10102101;1010210;44000, Волинська  обл., Шацький р-н., м.Шацьк, вул.50 років Перемоги, 6;delivery
10102111;1010211;61001, Харківська обл., м.Харків, Слобідський р-н., вул.Польова, 83;delivery
10102121;1010212;22000, Вінницька обл., м. Хмільник, вул.Монастирська, 8-А;delivery
10102131;1010213;78208, Івано-Франківська обл., м.Коломия, вул.Симоненка, 1-Г;delivery
10102141;1010214;07101, Київська обл., м.Славутич, вул.Чернігівська, 10;delivery
10102151;1010215;49098, Дніпропетровська обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Любарського, 159;delivery
10102161;1010216;20901, Черкаська обл., Чигиринський р-н., м.Чигирин, вул.Грушевського, 16-А;delivery
10102171;1010217;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Ярмаркова, 28;delivery
10102181;1010218;66302, Одеська обл., м.Подільськ, вул.Успенська, 14-А;delivery
10102191;1010219;55213, Миколаївська обл., м.Первомайськ, вул.Вокзальна, 34;delivery
10102201;1010220;73034, Херсонська обл., м.Херсон, Корабельний р-н., вул.Робоча, 82-А;delivery
10102211;1010221;78103, Івано-Франківська обл., Городенківський р-н.,м.Городенка, вул.Затишна, 36;delivery
10102221;1010222;47101, Тернопільська обл., Шумський р-н., м.Шумськ, вул. Вілійська, 6-Г;delivery
10102231;1010223;84511, Донецька обл., м.Бахмут, вул.Різдвяна, 27;delivery
10102241;1010224;08001, Київська обл., Макарівський р-н., м.Макарів, вул.Гагаріна, 8;delivery
10102251;1010225;70504, Запорізька обл., Оріхівський р-н., м.Оріхів, вул.Марії Сокіл, 28;delivery
10102271;1010227;13306, Житомирська обл., Бердичівський р-н., м.Бердичів, вул.Привокзальна, 3;delivery
10102281;1010228;Вінницька обл., Ямпільський р-н. м.Ямпіль, вулиця Богдана Хмельницького, 44/84;delivery
10102291;1010229;08623, Київська обл., Фастівський  р-н., смт.Калинівка, вул.Залізнична, 164;delivery
10102301;1010230;53407, Дніпропетровська обл., Нікопольський р-н., м.Марганець, вул.Кленова, 12-А;delivery
10102311;1010231;51937, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н.,  проспект Наддніпрянський, 1-Б;delivery
10102321;1010232;37600, Полтавська обл., Миргородський р-н., м.Миргород, вул.Данила Апостола, 38;delivery
10102331;1010233;14013, Чернігівська обл., м.Чернігів, Деснянський р-н., вул.Любомира Боднарука, 28;delivery
10102341;1010234;68702, Одеська обл., Болградський р-н., м.Болград, проспект Соборний, 108;delivery
10102351;1010235;67400, Одеська обл., Роздільнянський р-н., м.Роздільна, вул.Європейська, 52;delivery
10102361;1010236;12501, Житомирська обл., Житомирський  р-н., м.Коростишів, вул.Героїв небесної сотні, 68;delivery
10102371;1010237;84331, Донецька обл., м.Краматорськ, вул.Ювілейна, 70;delivery
10102381;1010238;81300, Львівська обл., Мостиський р-н., м.Мостиська, вул.Зелена 7-А;delivery
10102401;1010240;38500, Полтавська обл., Диканський р-н., смт.Диканька, вул.Незалежності, 58/1;delivery
10102411;1010241;68200, Одеська обл., Саратський р-н., смт.Сарата, вул.Чкалова, 50/1;delivery
10102421;1010242;62400, Харківська обл., Харківський р-н., м.Мерефа, вул.Дніпропетровська, 238;delivery
10102431;1010243;80400, Львівська обл., Львівський р-н.,  м.Кам`янка-Бузька, вул.Генерала Чупринки, 15;delivery
11000011;1100001;01004, м.Київ, Печерський район, ВУЛИЦЯ БАСЕЙНА, будинок 6;dk_trend
13300011;1330001;49112, Дніпропетровська обл., місто Дніпро, Соборний район, ВУЛИЦЯ КОСМІЧНА, будинок 25-Д;justin
13300021;1330002;49098, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ВУЛИЦЯ МАЛИНОВСЬКОГО, будинок 8;justin
13300031;1330003;21022, Вінницька обл., місто Вінниця, ПРОЇЗД СТАНІСЛАВСЬКОГО, будинок 7;justin
13300041;1330004;02217, м.Київ, Деснянський район, ВУЛИЦЯ ДРАЙЗЕРА, будинок 8;justin
13300051;1330005;18001, Черкаська обл., м.Черкаси, Придніпровський р-н., бульвар Шевченка, 207;justin
13300071;1330007;04073, м.Київ, Оболонський район, ВУЛИЦЯ СЕМЕНА СКЛЯРЕНКА, будинок 17;justin
13300081;1330008;08138, Київська обл., Бучанський р-н.,  с.Софіївська Борщагівка, вул.Миру, 40;justin
13300101;1330010;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ 7-Й КМ ОВІДІОПОЛЬСЬКОЇ ДОРОГИ, будинок 1;justin
13300111;1330011;03026, м.Київ, Голосіївський район, ВУЛИЦЯ АКАДЕМІКА ЗАБОЛОТНОГО, будинок 37;justin
13300121;1330012;04073, м.Київ, Оболонський район, ПРОСПЕКТ СТЕПАНА БАНДЕРИ, будинок 23;justin
13300131;1330013;79068, Львівська обл., місто Львів, Шевченківський район, ВУЛИЦЯ ГЕТЬМАНА МАЗЕПИ, будинок 11;justin
13300141;1330014;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ КУЛЬПАРКІВСЬКА, будинок 226-А;justin
13300151;1330015;65122, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ АКАДЕМІКА ВІЛЬЯМСА, будинок 75;justin
13300161;1330016;65005, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ СЕРЕДНЯ , будинок 83-А;justin
13300171;1330017;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ЛЮДВІГА СВОБОДИ, будинок 30;justin
13300181;1330018;61121, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 130;justin
13300191;1330019;61168, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 9;justin
13300201;1330020;04159, м.Київ, Оболонський р-н, вул.Сім`ї Кульженків, 33, секція 2, приміщення 5-Б;justin
13300221;1330022;03194, м.Київ, Святошинський район, ПРОСПЕКТ ЛЕСЯ КУРБАСА, будинок 15-А;justin
13300231;1330023;03148, м.Київ, Святошинський р-н., проспект Академіка Корольова, 3;justin
13300241;1330024;01042, м.Київ, Печерський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 7;justin
13300261;1330026;04201, м.Київ, Оболонський район, ВУЛИЦЯ БЕРЕЖАНСЬКА, будинок 22;justin
13300271;1330027;02097, м.Київ, Деснянський район, ВУЛИЦЯ МИЛОСЛАВСЬКА, будинок 10-А;justin
13300281;1330028;02232, м.Київ, Деснянський район, ПРОСПЕКТ ВОЛОДИМИРА МАЯКОВСЬКОГО, будинок 75/2;justin
13300291;1330029;03150, м.Київ, Голосіївський район, ВУЛИЦЯ КАЗИМИРА МАЛЕВИЧА, будинок 107;justin
13300301;1330030;03194, м.Київ, Святошинський район, БУЛЬВАР КОЛЬЦОВА, будинок 14-М;justin
13300331;1330033;79071, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 214;justin
13300341;1330034;79052, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ШИРОКА, будинок 87;justin
13300361;1330036;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 7;justin
13300371;1330037;03115, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 87;justin
13300381;1330038;03126, м.Київ, Оболонський район, проспект ГЕРОЇВ СТАЛІНГРАДУ, будинок 46;justin
13300391;1330039;61001, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ МОЛОЧНА, будинок 1;justin
13300401;1330040;61118, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 108;justin
13300411;1330041;61144, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 15;justin
13300421;1330042;49055, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ НОВОКРИМСЬКА, будинок 3-А;justin
13300431;1330043;49099, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ ЮРІЯ КОНДРАТЮКА, будинок 4;justin
13300441;1330044;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 18-А;justin
13300451;1330045;49106, Дніпропетровська обл., місто Дніпро, Соборний район, БУЛЬВАР СЛАВИ, будинок 5;justin
13300461;1330046;08302, Київська обл., місто Бориспіль, ВУЛИЦЯ ВОЛОДИМИРА МОМОТА, будинок 42/5;justin
13300471;1330047;07800, Київська обл., Бородянський район, селище міського типу Бородянка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 343;justin
13300481;1330048;33003, Рівненська обл., місто Рівне, ВУЛИЦЯ ГАГАРІНА, будинок 16;justin
13300491;1330049;33016, Рівненська обл., місто Рівне, ВУЛИЦЯ РОМАНА ШУХЕВИЧА, будинок 12;justin
13300501;1330050;43026, Волинська обл., місто Луцьк, ВУЛИЦЯ КРАВЧУКА, будинок 23;justin
13300511;1330051;65074, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 33;justin
13300531;1330053;02154, м.Київ, Дніпровський район, ВУЛИЦЯ ЕНТУЗІАСТІВ, будинок 7;justin
13300561;1330056;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 40;justin
13300581;1330058;20001, Черкаська обл., Христинівський р-н., м.Христинівка, вул.Шевченка, 52;justin
13300611;1330061;03124, м.Київ, Солом`янський район, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, будинок 29;justin
13300631;1330063;08136, Київська обл., Києво-Святошинський район, село Крюківщина, ВУЛИЦЯ ЖУЛЯНСЬКА, будинок 1-А;justin
13300641;1330064;08600, Київська обл., місто Васильків, ВУЛИЦЯ СОБОРНА, будинок 64/1;justin
13300651;1330065;03143, м.Київ, Голосіївський район, ВУЛИЦЯ МЕТРОЛОГІЧНА, будинок 14-Б;justin
13300661;1330066;65046, Одеська обл.,  м.Одеса, Малиновський р-н., вул.Академіка Філатова, 41, кв.21;justin
13300671;1330067;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 44;justin
13300681;1330068;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 13-А;justin
13300691;1330069;46023, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ 15-ГО КВІТНЯ, будинок 5-А;justin
13300701;1330070;02096, м.Київ, Дарницький район, ВУЛИЦЯ ЯЛТИНСЬКА, будинок 6;justin
13300711;1330071;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ТАТАРСЬКА, будинок 3/2;justin
13300721;1330072;03134, м.Київ, Святошинський район, ВУЛИЦЯ БУЛГАКОВА, будинок 11;justin
13300731;1330073;08631, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 18-А;justin
13300741;1330074;17000, Чернігівська обл., Козелецький район, селище міського типу Козелець, ВУЛИЦЯ СОБОРНОСТІ, будинок 53/1;justin
13300751;1330075;04073, м.Київ, Оболонський район, ВУЛИЦЯ Кирилівська, будинок 154;justin
13300771;1330077;08630, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 42;justin
13300781;1330078;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ УШАКОВА, будинок 49;justin
13300791;1330079;09117, Київська обл., місто Біла Церква, бульвар Олександрійський, будинок 115;justin
13300801;1330080;88018, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ГЕНЕРАЛА СВОБОДИ, будинок 9-Б;justin
13300821;1330082;40000, Сумська обл., місто Суми, Ковпаківський район, ВУЛИЦЯ КООПЕРАТИВНА, будинок 1;justin
13300831;1330083;08606, Київська область, місто Васильків, вулиця Декабристів, будинок 151;justin
13300841;1330084;07363, Київська обл., Вишгородський район, село Хотянівка, ВУЛИЦЯ ВАЛОВА, будинок 2-В;justin
13300851;1330085;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 64;justin
13300861;1330086;61183, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 279-А;justin
13300871;1330087;61096, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДУ, будинок 171;justin
13300881;1330088;49018, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., провулок Парусний, 7;justin
13300891;1330089;02192, м.Київ, Дніпровський район, БУЛЬВАР ДАРНИЦЬКИЙ, будинок 8-А;justin
13300901;1330090;04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДОРОГОЖИЦЬКА, будинок 2;justin
13300911;1330091;04123, м.Київ, Подільський район, ВУЛИЦЯ ЗАПАДИНСЬКА, будинок 15;justin
13300921;1330092;02094, м.Київ, Деснянський район, ПРОВУЛОК КАРЕЛЬСЬКИЙ, будинок 3;justin
13300931;1330093;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 34;justin
13300941;1330094;04212, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 5;justin
13300961;1330096;16600, Чернігівська обл., м.Ніжин, вул. Шевченка, 21-А;justin
13300971;1330097;18007, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ НАДПІЛЬНА, будинок 411;justin
13300981;1330098;65009, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 17/19;justin
13300991;1330099;39631, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 66-Г;justin
13301001;1330100;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ, будинок 2-А;justin
13301011;1330101;09502, Київська обл., Таращанський район, місто Тараща, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 6;justin
13301021;1330102;08325, Київська обл., Бориспільський район, село Щасливе, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 15;justin
13301061;1330106;08131, Київська обл., Києво-Святошинський район, село Софіївська Борщагівка, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 20-А;justin
13301071;1330107;07354, Київська обл., Вишгородський район, село Нові Петрівці, ВУЛИЦЯ СВЯТО-ПОКРОВСЬКА, будинок 222;justin
13301091;1330109;07100, Київська обл., місто Славутич, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 5;justin
13301111;1330111;16500, Чернігівська обл., Бахмацький район, місто Бахмач, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 24;justin
13301121;1330112;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ ТЕЛІГИ ОЛЕНИ, будинок 49;justin
13301131;1330113;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;justin
13301141;1330114;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ВАЛОВА, будинок 24/1;justin
13301161;1330116;31101, Хмельницька обл., місто Старокостянтинів, ВУЛИЦЯ МИРУ, будинок 19/2;justin
13301171;1330117;32315, Хмельницька обл., місто Кам`янець-Подільський, ВУЛИЦЯ НІГИНСЬКЕ ШОСЕ, будинок 41/1;justin
13301181;1330118;58032, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГОЛОВНА, будинок 265-А;justin
13301191;1330119;65490, Одеська обл., місто Теплодар, ВУЛИЦЯ ПІОНЕРНА, будинок 1;justin
13301201;1330120;54037, Миколаївська обл., місто Миколаїв, Заводський район, ВУЛИЦЯ ОЗЕРНА, будинок 17-Г;justin
13301211;1330121;54055, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ЧКАЛОВА, будинок 82;justin
13301221;1330122;50086, Дніпропетровська обл., м.Кривий Ріг, Довгинцівський р-н., шосе  Дніпропетровське, 4, приміщення 1;justin
13301231;1330123;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ 200-РІЧЧЯ ХЕРСОНА, будинок 8;justin
13301251;1330125;50071, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 24-Д;justin
13301261;1330126;50076, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, БУЛЬВАР ВЕЧІРНІЙ, будинок 33;justin
13301271;1330127;69009, Запорізька обл., місто Запоріжжя, Заводський район, ВУЛИЦЯ РИНКОВА, будинок 2;justin
13301281;1330128;69013, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ БАЗОВА, будинок 11;justin
13301291;1330129;69041, Запорізька обл., місто Запоріжжя, Дніпровський район, БУЛЬВАР ВІНТЕРА/ВУЛИЦЯ КИЯШКА, будинок 30/3;justin
13301301;1330130;69097, Запорізька обл., місто Запоріжжя, Хортицький район, ВУЛИЦЯ ВАСИЛЯ СЕРГІЄНКА, будинок 9;justin
13301311;1330131;71630, Запорізька обл., м.Запоріжжя, Вознесенівський р-н., бульвар Шевченка, будинок 71;justin
13301321;1330132;87549, Донецька обл., місто Маріуполь, Центральний район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 112;justin
13301331;1330133;61176, Харківська обл., місто Харків, Немишлянський район, ВУЛИЦЯ КРАСНОДАРСЬКА, будинок 181-А;justin
13301341;1330134;61068, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ПАВЛОВА, будинок 44-Б;justin
13301351;1330135;07352, Київська обл., Вишгородський район, село Лютіж, ВУЛИЦЯ ВИЗВОЛИТЕЛІВ, будинок 56-А;justin
13301371;1330137;41615, Сумська обл., м.Конотоп, проспект Миру, 3;justin
13301381;1330138;14014, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ МУЗИЧНА, будинок 1;justin
13301391;1330139;58029, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 71;justin
13301401;1330140;73005, Херсонська обл., місто Херсон, Дніпровський район, ВУЛИЦЯ ЗАЛАЕГЕРСЕГ, будинок 18;justin
13301411;1330141;22000, Вінницька обл., місто Хмільник, ПРОСПЕКТ СВОБОДИ, будинок 1;justin
13301431;1330143;03126, м.Київ, Солом`янський район, БУЛЬВАР ГАВЕЛА ВАЦЛАВА, будинок 54/26;justin
13301441;1330144;65123, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ СЕМЕНА ПАЛІЯ, будинок 93-А;justin
13301451;1330145;65058, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ДОВЖЕНКА, будинок 4;justin
13301461;1330146;02072, м.Київ, Дарницький р-н., вул.Бориса Гмирі, 5-А;justin
13301471;1330147;02140, м.Київ, Дарницький район, ПРОСПЕКТ МИКОЛИ БАЖАНА, будинок 30;justin
13301481;1330148;02192, м.Київ, Дніпровський район, ВУЛИЦЯ БОЙЧЕНКА ОЛЕКСАНДРА, будинок 7;justin
13301491;1330149;46020, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ТЕКСТИЛЬНА, будинок 28-Ч;justin
13301501;1330150;73039, Херсонська обл., місто Херсон, Суворовський район, ВУЛИЦЯ 49-Ї ГВАРДІЙСЬКОЇ ДИВІЗІЇ, будинок 45;justin
13301511;1330151;76019, Івано-Франківська обл., місто Івано-Франківськ, БУЛЬВАР ПІВНІЧНИЙ ІМ. ПУШКІНА, будинок 2-А;justin
13301521;1330152;04212, м.Київ, Оболонський район, ВУЛИЦЯ ТИМОШЕНКА, будинок 19;justin
13301531;1330153;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 23-Б;justin
13301541;1330154;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ СКВИРСЬКЕ ШОСЕ, будинок 230;justin
13301551;1330155;07401, Київська обл., місто Бровари, ВУЛИЦЯ ШЕВЧЕНКО, будинок 10-В;justin
13301561;1330156;02222, м.Київ, Деснянський район, ВУЛИЦЯ ОНОРЕ ДЕ БАЛЬЗАКА, будинок 42/20;justin
13301571;1330157;02100, м.Київ, Дніпровський район, БУЛЬВАР ВЕРХОВНОЇ РАДИ, будинок 17;justin
13301581;1330158;02232, м.Київ, Деснянський район, ВУЛИЦЯ МИКОЛИ ЗАКРЕВСЬКОГО, будинок 87;justin
13301591;1330159;04210, м.Київ, Оболонський район, ВУЛИЦЯ ЙОРДАНСЬКА, будинок 20;justin
13301601;1330160;61121, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 128-В;justin
13301611;1330161;02166, м.Київ, Деснянський район, ВУЛИЦЯ АКАДЕМІКА КУРЧАТОВА, будинок 19-А;justin
13301621;1330162;02166, м.Київ, Деснянський район, ВУЛИЦЯ КУРЧАТОВА, будинок 5;justin
13301631;1330163;02092, м.Київ, Дніпровський район, ВУЛИЦЯ МАРГАНЕЦЬКА, будинок 22;justin
13301641;1330164;02125, м.Київ, Дніпровський район, ВУЛИЦЯ ПЕТРА ЗАПОРОЖЦЯ, будинок 21;justin
13301651;1330165;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ПЕЧЕНІЗЬКА, будинок 1/7А;justin
13301661;1330166;21018, Вінницька обл., місто Вінниця, ПЛОЩА ГАГАРІНА, будинок 2;justin
13301671;1330167;04215, м.Київ, Подільський р-н., проспект Свободи, 26-Б;justin
13301681;1330168;04208, м.Київ, Подільський район, ПРОСПЕКТ ПРАВДИ, будинок 66;justin
13301701;1330170;09161, Київська обл., Білоцерківський район, місто Узин, ВУЛИЦЯ ІВАНА БОГУНА, будинок 21-А;justin
13301711;1330171;07540, Київська обл., місто Березань, ВУЛИЦЯ ШЕВЧЕНКІВ ШЛЯХ, будинок 140-А;justin
13301731;1330173;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;justin
13301741;1330174;24320, Вінницька обл., місто Ладижин, ВУЛИЦЯ БУДІВЕЛЬНИКІВ, будинок 15;justin
13301751;1330175;37600, Полтавська обл., місто Миргород, ВУЛИЦЯ ГОГОЛЯ, будинок 98/6;justin
13301771;1330177;65069, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕРОЇВ ОБОРОНИ ОДЕСИ, будинок 98-Б;justin
13301781;1330178;23700, Вінницька обл., м.Гайсин, вул.1-го Травня, 75;justin
13301791;1330179;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ПУШКІНА, будинок 6;justin
13301801;1330180;16600, Чернігівська обл., місто Ніжин, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 36/1;justin
13301811;1330181;39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ОЛЕКСАНДРА ХАЛАМЕНЮКА, будинок 7;justin
13301821;1330182;61123, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГВАРДІЙЦІВ-ШИРОНІНЦІВ, будинок 42;justin
13301831;1330183;08141, Київська обл., Києво-Святошинський район, село Святопетрівське, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 2-Г;justin
13301851;1330185;08500, Київська обл., місто Фастів, ВУЛИЦЯ ІВАНА СТУПАКА, будинок 4;justin
13301861;1330186;04214, м.Київ, Оболонський район, ВУЛИЦЯ ПІВНІЧНА, будинок 6-В;justin
13301871;1330187;02160, м.Київ, Дніпровський р-н., ХАРКІВСЬКЕ ШОСЕ, будинок 8;justin
13301891;1330189;03162, м.Київ, Святошинський район, ВУЛИЦЯ ЗОДЧИХ, будинок 52;justin
